,index,smiles,ligand,docking_score_min
828,24747,BrC1=CC=CC2=C(C=CC=C12)C1=NOC(=N1)C1=CN=CC2=CC=CC=C12,m_270196____8771052____8784654_S0_T0,-12.0
829,3411,OC1(CN(C1)C(=O)C1=CC=NC2=CC=NC=C12)C1=CN(N=N1)C1=CC=CC2=CC=CC=C12,m_276010____17282136____17264216____17280376_S0_T0,-12.5
830,65176,CC1=NN2C(=N1)N=CC=C2C(=O)NC1=CC=C2OC3=CC=CC=C3C(=O)C2=C1,m_11____8157598____8633492_S0_T0,-11.8
831,95514,FC1=CC2=CC=CC=C2C(=C1)C1=NC(=NO1)C1=CC=CC(OC2=CC=CC=C2)=C1,m_265764____4837084____16915820_S0_T0,-11.7
832,14628,O1C=CC2=CC(=CC=C12)C1=CC2=C(C=C1)C=CC1=C2C=CC=C1,s_271570____10145174____21749638_S0_T0,-12.2
833,91100,C[C@H](NC(=O)C1=CC(=NC2=CC=CC=C12)C1=CC=CC2=CC=CC=C12)C1=CC=CO1,s_11____16644056____53746_S0_T0,-11.7
834,72348,O=C(NCCN1C=NC2=CC=CC=C2C1=O)C1=NC2=C(C=CC3=C2C=CC=C3)C=C1,m_22____20611292____21203068_S0_T0,-11.8
835,16,OC1(CN(C1)C(=O)C1=CC=CC=C1C1=NNC=N1)C1=CN(N=N1)C1=CC=CC2=CC=CC=C12,m_276010____17282136____17268848____17280376_S0_T0,-13.3
836,77571,OC1=C2NC(C=CC2=CC=C1)=NNC(=O)C1=CC=C2C3=CC=CC=C3C(=O)C2=C1,s_22____21212130____244738_S0_T0,-11.8
837,74213,CC1=CC(=NNC(=O)C2=CC=C3C(SC4=CC=CC=C4C3=O)=C2)N2N=CNC2=N1,m_22____99846____20819630_S0_T1,-11.8
838,46260,CC1=C(OC=C1)C1=NN=C(CN2N=C(C=CC2=O)C2=CC=CC3=CC=CC=C23)O1,s_34____18317380____7347960_S0_T0,-11.9
839,27676,CC1=CC2=CC=CC=C2N=C1NNC(=O)C1=CC2=C(O1)C=CC1=C2C=CC=C1,s_527____8331918____12211502_S0_T1,-12.0
